id,event_id,action_type,event_timestamp,response_timestamp,response_time_seconds
1,,log,2026-08-11 04:44:50.953964+00,2026-08-11 04:44:50.953964+00,0.000000
2,,log,2026-08-11 04:46:09.020323+00,2026-08-11 04:46:09.020323+00,0.000000
3,26,log,2026-08-11 04:52:28.271921+00,2026-08-11 04:52:28.271921+00,0.000000
4,,bloqueo,2026-08-21 01:10:09.460954+00,2026-08-21 01:10:09.460954+00,0.000000
5,,bloqueo,2026-08-21 01:13:40.124648+00,2026-08-21 01:13:40.124648+00,0.000000
6,,alerta,2026-08-21 01:16:16.87398+00,2026-08-21 01:16:16.87398+00,0.000000
7,62,log,2026-08-21 01:18:05.071117+00,2026-08-21 01:18:05.071117+00,0.000000
8,,bloqueo,2026-08-23 05:21:45.658984+00,2026-08-23 05:21:45.658984+00,0.000000
9,,alerta,2026-08-23 05:21:46.098351+00,2026-08-23 05:21:46.098351+00,0.000000
10,66,log,2026-08-23 05:24:13.57243+00,2026-08-23 05:24:13.57243+00,0.000000
11,,bloqueo,2026-08-23 05:41:31.524867+00,2026-08-23 05:41:31.524867+00,0.000000
12,,alerta,2026-08-23 05:52:43.897979+00,2026-08-23 05:52:43.897979+00,0.000000
13,,log,2026-08-23 06:18:43.434497+00,2026-08-23 06:18:43.434497+00,0.000000
14,,log,2026-08-23 06:18:44.959983+00,2026-08-23 06:18:44.959983+00,0.000000
15,,bloqueo,2026-08-24 15:23:44.51952+00,2026-08-24 15:23:44.51952+00,0.000000
16,,log,2026-08-24 15:39:07.820512+00,2026-08-24 15:39:07.820512+00,0.000000
17,73,block,2026-08-24 15:53:51.958271+00,2026-08-24 15:53:51.958271+00,0.000000
18,74,log,2026-08-24 15:54:26.994475+00,2026-08-24 15:54:26.994475+00,0.000000
19,77,log,2026-08-24 16:17:01.951607+00,2026-08-24 16:17:01.951607+00,0.000000
20,78,block,2026-08-24 16:17:03.972663+00,2026-08-24 16:17:03.972663+00,0.000000
21,79,log,2026-08-24 16:17:04.996784+00,2026-08-24 16:17:04.996784+00,0.000000
22,80,block,2026-08-24 18:03:14.780636+00,2026-08-24 18:03:14.780636+00,0.000000
23,82,block,2026-08-24 23:12:49.545883+00,2026-08-24 23:12:49.545883+00,0.000000
24,83,block,2026-08-24 23:39:11.471024+00,2026-08-24 23:39:11.471024+00,0.000000
25,84,block,2026-08-24 23:45:34.255205+00,2026-08-24 23:45:34.255205+00,0.000000
26,85,log,2026-08-25 00:03:50.361064+00,2026-08-25 00:03:50.361064+00,0.000000
27,86,block,2026-08-25 00:08:14.176114+00,2026-08-25 00:08:14.176114+00,0.000000
28,87,block,2026-08-25 00:22:53.457064+00,2026-08-25 00:22:53.457064+00,0.000000
29,88,block,2026-08-25 00:24:40.421129+00,2026-08-25 00:24:40.421129+00,0.000000
30,89,block,2026-08-25 00:29:07.796009+00,2026-08-25 00:29:07.796009+00,0.000000
31,90,block,2026-08-25 00:31:03.906244+00,2026-08-25 00:31:03.906244+00,0.000000
32,91,log,2026-08-25 00:32:06.290065+00,2026-08-25 00:32:06.290065+00,0.000000
33,92,block,2026-08-25 00:35:26.661278+00,2026-08-25 00:35:26.661278+00,0.000000
34,93,block,2026-08-25 00:41:59.060858+00,2026-08-25 00:41:59.060858+00,0.000000
35,94,block,2026-08-25 01:02:16.518349+00,2026-08-25 01:02:16.518349+00,0.000000
36,95,block,2026-08-25 01:08:01.606834+00,2026-08-25 01:08:01.606834+00,0.000000
37,96,block,2026-08-25 01:13:30.766804+00,2026-08-25 01:13:30.766804+00,0.000000
38,97,block,2026-08-25 01:18:58.291178+00,2026-08-25 01:18:58.291178+00,0.000000
39,98,block,2026-08-25 01:20:13.184272+00,2026-08-25 01:20:13.184272+00,0.000000
40,99,log,2026-08-25 02:25:02.044286+00,2026-08-25 02:25:02.044286+00,0.000000
41,100,block,2026-08-25 02:25:08.229129+00,2026-08-25 02:25:08.229129+00,0.000000
42,102,log,2026-08-25 18:20:29.593727+00,2026-08-25 18:20:29.593727+00,0.000000
43,103,block,2026-08-25 18:36:44.119545+00,2026-08-25 18:36:44.119545+00,0.000000
44,104,block,2026-08-25 18:39:10.34694+00,2026-08-25 18:39:10.34694+00,0.000000
45,105,log,2026-08-25 18:41:08.515449+00,2026-08-25 18:41:08.515449+00,0.000000
46,106,block,2026-08-25 18:42:51.80631+00,2026-08-25 18:42:51.80631+00,0.000000
47,107,block,2026-08-25 18:44:50.500402+00,2026-08-25 18:44:50.500402+00,0.000000
48,108,block,2026-08-25 18:48:17.086258+00,2026-08-25 18:48:17.086258+00,0.000000
49,109,log,2026-08-25 18:48:20.546474+00,2026-08-25 18:48:20.546474+00,0.000000
