event_id,event_timestamp,response_type,response_timestamp,mttr_seconds
108,2026-08-25 18:48:03.375+00,block,2026-08-25 18:48:17.086258+00,13.71
109,2026-08-25 18:48:07.425+00,log,2026-08-25 18:48:20.546474+00,13.12
110,2026-08-25 18:48:10.746+00,block,2026-08-25 18:48:21.403017+00,10.66
111,2026-08-25 18:48:19.067+00,block,2026-08-25 18:48:25.968018+00,6.90
112,2026-08-25 18:48:22.265+00,log,2026-08-25 18:48:26.435509+00,4.17
113,2026-08-25 18:48:23.93+00,block,2026-08-25 18:48:37.623499+00,13.69
114,2026-08-25 18:48:25.71+00,block,2026-08-25 18:48:34.104768+00,8.39
115,2026-08-25 18:48:27.397+00,log,2026-08-25 18:48:29.089526+00,1.69
116,2026-08-25 18:48:29.254+00,block,2026-08-25 18:48:31.397688+00,2.14
117,2026-08-25 18:48:31.184+00,block,2026-08-25 18:48:32.866338+00,1.68
118,2026-08-25 18:48:32.934+00,block,2026-08-25 18:48:38.331324+00,5.40
119,2026-08-25 18:48:34.617+00,log,2026-08-25 18:48:37.986331+00,3.37
120,2026-08-25 18:48:36.69+00,block,2026-08-25 18:48:38.985138+00,2.30
121,2026-08-25 18:48:39.071+00,block,2026-08-25 18:48:45.269555+00,6.20
122,2026-08-25 18:48:41.276+00,log,2026-08-25 18:48:46.839481+00,5.56
123,2026-08-25 18:48:44.161+00,block,2026-08-25 18:48:50.982554+00,6.82
124,2026-08-25 18:48:48.108+00,block,2026-08-25 18:48:54.860178+00,6.75
125,2026-08-25 18:48:51.622+00,log,2026-08-25 18:48:55.414759+00,3.79
126,2026-08-25 18:48:55.704+00,block,2026-08-25 18:49:00.469449+00,4.77
127,2026-08-25 18:48:58.947+00,block,2026-08-25 18:49:03.805979+00,4.86
128,2026-08-25 18:49:03.151+00,block,2026-08-25 18:49:07.97681+00,4.83
129,2026-08-25 18:49:05.251+00,log,2026-08-25 18:49:09.470457+00,4.22
130,2026-08-25 18:49:07.623+00,block,2026-08-25 18:49:09.982834+00,2.36
131,2026-08-25 18:49:10.069+00,block,2026-08-25 18:49:17.306153+00,7.24
132,2026-08-25 18:49:12.832+00,log,2026-08-25 18:49:19.115904+00,6.28
133,2026-08-25 18:49:16.275+00,block,2026-08-25 18:49:36.773774+00,20.50
134,2026-08-25 18:49:18.619+00,block,2026-08-25 18:49:32.969429+00,14.35
135,2026-08-25 18:49:22.726+00,log,2026-08-25 18:49:25.733821+00,3.01
136,2026-08-25 18:49:25.32+00,block,2026-08-25 18:49:29.052353+00,3.73
137,2026-08-25 18:49:28.126+00,block,2026-08-25 18:49:30.674841+00,2.55
138,2026-08-25 18:50:09.244+00,log,2026-08-25 18:50:27.975526+00,18.73
139,2026-08-25 18:50:22.582+00,log,2026-08-25 18:50:29.752955+00,7.17
140,2026-08-25 18:50:29.274+00,log,2026-08-25 18:50:31.162901+00,1.89
141,2026-08-25 18:50:31.232+00,block,2026-08-25 18:50:32.728912+00,1.50
142,2026-08-25 18:50:32.919+00,log,2026-08-25 18:50:34.588432+00,1.67
143,2026-08-25 18:50:34.769+00,log,2026-08-25 18:50:36.501523+00,1.73
144,2026-08-25 18:50:36.592+00,log,2026-08-25 18:50:39.334089+00,2.74
145,2026-08-25 18:50:38.997+00,log,2026-08-25 18:50:40.789139+00,1.79
146,2026-08-25 18:50:40.948+00,log,2026-08-25 18:50:42.718425+00,1.77
147,2026-08-25 18:50:42.579+00,log,2026-08-25 18:50:44.407461+00,1.83
148,2026-08-25 18:50:44.553+00,log,2026-08-25 18:50:46.001935+00,1.45
149,2026-08-25 18:50:45.931+00,log,2026-08-25 18:50:47.463733+00,1.53
150,2026-08-25 18:50:47.787+00,log,2026-08-25 18:50:49.231685+00,1.44
151,2026-08-25 18:50:49.386+00,block,2026-08-25 18:50:51.232423+00,1.85
152,2026-08-25 18:50:51.424+00,log,2026-08-25 18:50:53.012937+00,1.59
153,2026-08-25 18:50:53.102+00,log,2026-08-25 18:50:54.819171+00,1.72
154,2026-08-25 18:50:55.064+00,log,2026-08-25 18:50:57.966676+00,2.90
155,2026-08-25 18:50:58.038+00,log,2026-08-25 18:50:59.976393+00,1.94
156,2026-08-25 18:50:59.819+00,log,2026-08-25 18:51:02.617095+00,2.80
157,2026-08-25 18:51:03.445+00,log,2026-08-25 18:51:06.911125+00,3.47
158,2026-08-25 18:51:06.912+00,log,2026-08-25 18:51:12.73869+00,5.83
159,2026-08-25 18:51:11.606+00,log,2026-08-25 18:51:15.582103+00,3.98
160,2026-08-25 18:51:15.652+00,log,2026-08-25 18:51:18.514351+00,2.86
161,2026-08-25 18:51:18.325+00,block,2026-08-25 18:51:20.926282+00,2.60
162,2026-08-25 18:51:20.73+00,log,2026-08-25 18:51:23.014281+00,2.28
163,2026-08-25 18:51:23.227+00,log,2026-08-25 18:51:25.48396+00,2.26
164,2026-08-25 18:51:25.287+00,log,2026-08-25 18:51:27.535744+00,2.25
165,2026-08-25 18:51:27.415+00,log,2026-08-25 18:51:29.833971+00,2.42
166,2026-08-25 18:51:29.666+00,log,2026-08-25 18:51:32.752142+00,3.09
167,2026-08-25 18:51:32.648+00,log,2026-08-25 18:51:35.787454+00,3.14
